model_name,mcc,carbon_emissions,energy_consumed,experiment_name
convnext,0.945561844,0.026127553,0.127284367,EuroSAT
convnext,0.563190825,0.017467589,0.085096027,EuroSAT
swinv2,0.984097038,0.008626152,0.042023619,EuroSAT
swinv2,0.661339329,0.005896086,0.028723685,EuroSAT
vit,0.98308131,0.00264573,0.012889076,Kenya_Roads
convnext,0.162967005,0.002370812,0.011549771,Kenya_Roads
deit,0.978188419,0.002161397,0.010529578,Kenya_Roads
vit,0.619430037,0.001869986,0.009109925,Kenya_Roads
deit,0.605909233,0.00163208,0.007950927,PublicHarvestNet
swinv2,0.2129013,0.000804808,0.003920746,PublicHarvestNet
vit,0.204883562,0.000244294,0.001190117,PublicHarvestNet
deit,0.181164808,0.000216169,0.001053102,PublicHarvestNet